StateCodes,State,Region,Division,Coast,Great Lakes,TotalC2010,TotalC2011,TotalC2012,TotalC2013,TotalC2014,TotalP2010,TotalP2011,TotalP2012,TotalP2013,TotalP2014,TotalE2010,TotalE2011,TotalE2012,TotalE2013,TotalE2014,TotalPrice2010,TotalPrice2011,TotalPrice2012,TotalPrice2013,TotalPrice2014,BiomassC2010,BiomassC2011,BiomassC2012,BiomassC2013,BiomassC2014,CoalC2010,CoalC2011,CoalC2012,CoalC2013,CoalC2014,CoalP2010,CoalP2011,CoalP2012,CoalP2013,CoalP2014,CoalE2010,CoalE2011,CoalE2012,CoalE2013,CoalE2014,CoalPrice2010,CoalPrice2011,CoalPrice2012,CoalPrice2013,CoalPrice2014,ElecC2010,ElecC2011,ElecC2012,ElecC2013,ElecC2014,ElecE2010,ElecE2011,ElecE2012,ElecE2013,ElecE2014,ElecPrice2010,ElecPrice2011,ElecPrice2012,ElecPrice2013,ElecPrice2014,FossFuelC2010,FossFuelC2011,FossFuelC2012,FossFuelC2013,FossFuelC2014,GeoC2010,GeoC2011,GeoC2012,GeoC2013,GeoC2014,GeoP2010,GeoP2011,GeoP2012,GeoP2013,GeoP2014,HydroC2010,HydroC2011,HydroC2012,HydroC2013,HydroC2014,HydroP2010,HydroP2011,HydroP2012,HydroP2013,HydroP2014,NatGasC2010,NatGasC2011,NatGasC2012,NatGasC2013,NatGasC2014,NatGasE2010,NatGasE2011,NatGasE2012,NatGasE2013,NatGasE2014,NatGasPrice2010,NatGasPrice2011,NatGasPrice2012,NatGasPrice2013,NatGasPrice2014,LPGC2010,LPGC2011,LPGC2012,LPGC2013,LPGC2014,LPGE2010,LPGE2011,LPGE2012,LPGE2013,LPGE2014,LPGPrice2010,LPGPrice2011,LPGPrice2012,LPGPrice2013,LPGPrice2014,GDP2014,CENSUS2010POP,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014,NumberPolicies,RedBlue
NC,North Carolina,3,5,1,0,2685333,2558792,2481060,2530649,2554776,576162,572796,560887,606427,595660,33119.5,36145.8,36240.3,37527.2,37283.2,20.27,23.22,23.79,23.39,23.02,134325,141002,142163,148324,145560,749091,624783,534713,493771,501592,0,0,0,0,0,2651.9,2283.1,2025.9,1881.8,1805,3.54,3.65,3.79,3.81,3.6,465448,447262,437026,442809,454249,11822.8,11332.3,11720.6,11991.2,12421.6,25.4,25.34,26.82,27.08,27.35,1869784,1704725,1654828,1734549,1761282,931,903,967,967,967,0,0,0,0,0,46405,37828,35475,65838,45230,4757,3893,3728,6901,4756,308710,311189,367948,445898,460876,2742.5,2547.1,2423.1,3076.6,3500,9.12,8.38,6.69,6.96,7.66,47840,41807,36513,33150,36489,1273.9,1170.5,943.7,868.5,1033.4,26.63,28,25.85,26.2,28.32,474355.25,9535483,9559488,9651502,9748181,9848917,9943964,102,0
ND,North Dakota,2,4,0,0,476072,528508,552326,594439,640095,1253749,1518406,2135154,2634178,3261360,4555.5,6480.9,7095.5,7748.7,8209.6,13.79,17.34,18.3,18.49,18.51,25305,27145,25455,26067,26745,409684,394771,406344,393193,399195,377669,367624,366826,369479,389673,721.7,767.4,873.9,852.1,866,1.76,1.94,2.15,2.17,2.17,44207,46871,50214,54704,62234,913.3,1021.1,1139.8,1298.9,1511,20.87,22.02,22.99,24.07,24.7,622237,652742,678850,701050,723128,906,1001,978,978,978,0,0,0,0,0,19923,25068,23573,17674,24073,2042,2580,2477,1852,2531,70046,77752,77469,88285,90629,269.4,296.1,241.4,279.8,363,6.04,5.8,5.16,5.08,6.47,9541,9405,9057,12682,10982,187,220.6,194.2,286.6,287.7,19.79,23.52,21.52,22.63,26.57,58230,672591,674345,685242,701705,723857,739482,33,0
OH,Ohio,2,3,0,1,3824933,3792585,3655849,3739974,3809648,1032440,1067943,1067944,1149882,1547368,45104.2,50635.8,49523.1,50067,51385.5,18.18,20.58,20.71,20.02,20.01,110645,115650,115615,126808,129920,1355137,1222606,1019140,1104486,1057377,644947,679187,642149,612270,541830,3392.6,3382.4,2940.6,2853,2567.7,2.5,2.77,2.89,2.58,2.43,525944,527994,520183,512848,514119,13976.9,13856.1,13788.3,13715,14538.3,26.89,26.56,26.84,27.08,28.62,3304252,3188336,2984206,3170468,3208044,3241,3372,3435,3435,3435,0,0,0,0,0,4186,3728,3941,5240,4546,429,384,414,549,478,810958,849076,869934,954374,1044986,6742.5,6576.7,5388.4,6029.9,7437.8,8.72,8.08,6.42,6.54,7.41,29374,29302,23914,26992,27457,699.8,757.8,609.6,738.4,843.4,23.96,25.95,25.57,27.53,31.78,588827.75,11536504,11540070,11544757,11550901,11572005,11594163,74,1
OK,Oklahoma,3,7,0,0,1579910,1585212,1561913,1620837,1679856,2576077,2704301,2950525,3137443,3572829,17066.4,19766.9,19780.9,19581.1,20496.9,17.16,19.91,20.34,19.87,19.97,39320,39133,41310,42616,42870,346047,378320,327089,335925,336080,17580,19094,22004,25054,20607,614.8,686.1,666.2,697.9,680,1.78,1.81,2.04,2.08,2.02,197370,204197,202470,204478,210088,4362.9,4636.6,4442,4629.3,4944.3,22.3,22.91,22.16,23.23,24.15,1571983,1576848,1567142,1537652,1543910,23,23,24,24,24,0,0,0,0,0,27403,14641,10901,20781,13585,2809,1507,1146,2178,1428,697351,676910,712411,682277,665799,3916.8,3500.1,3102.3,3146.3,3454.2,6.73,6.27,5.3,5.9,6.93,11435,10418,8764,10666,10596,244,244.3,192.2,253.3,285.6,21.41,23.51,21.99,23.75,26.95,190170.5,3751351,3759481,3786527,3817059,3853118,3878051,40,0
OR,Oregon,4,9,1,0,975067,1002476,975044,991867,987145,393763,513597,496254,458848,479935,12716.1,14924.3,14994.4,14882.5,14866.2,19.2,22.37,22.78,22.2,22.29,59498,57460,61814,71299,72449,42556,35135,28259,38900,34238,0,0,0,0,0,72.7,64.7,55.6,78.4,87.3,1.71,1.84,1.97,2.01,2.55,157041,160949,159302,162551,161507,3478.4,3792.9,3834.9,4018.9,4110,22.15,23.57,24.07,24.72,25.45,628380,572458,575060,608017,588438,1114,1286,1476,2803,2977,0,0,26,165,183,297970,411131,375027,315785,335341,30542,42315,39410,33098,35262,242914,203607,220578,244025,225576,1677,1477.5,1337.9,1495.3,1498.4,7.09,7.45,6.2,6.23,6.76,5956,6208,5689,6013,6029,142.8,170.6,138.2,150.5,159.4,23.98,27.48,24.3,25.04,26.44,203328,3831074,3837083,3867644,3898684,3928068,3970239,148,1
PA,Pennsylvania,1,2,0,1,3752280,3725014,3623997,3826959,3902434,3064745,3870671,4730336,5873742,7087392,49095.9,55448.9,54238.3,54519.6,55665.8,19.74,22.8,22.97,21.67,21.44,132240,143718,141507,154219,148961,1310670,1212984,1093178,1126118,1039161,1485775,1511491,1390644,1379262,1566449,3607.2,3685.4,3282.6,3358.7,3006.4,2.75,3.04,3,2.98,2.89,508265,507560,493750,499018,500498,15222.4,15382.9,14218.8,14242.2,14984.4,30.29,30.73,29.12,28.82,30.2,3469617,3412240,3324396,3472175,3486721,2018,2180,2162,2162,2162,0,0,0,0,0,22753,31258,21334,24088,25117,2332,3217,2242,2525,2641,909263,1000509,1079497,1176660,1257090,7209.8,7437.4,6576.7,7570.5,8819.3,8.73,8.51,7.09,7.63,8.19,55261,57268,48347,48235,48546,1554.5,1744.2,1456.2,1422.2,1516,28.19,30.46,30.12,29.49,31.23,672413.25,12702379,12711077,12743995,12770043,12781296,12787209,68,1
RI,Rhode Island,1,1,1,0,195314,185731,183879,199165,204459,3399,3419,2822,2627,4304,3689.9,3907.3,3844,4008,4203.7,23.63,26.16,26.59,26.21,26.34,6691,6265,5609,5458,7068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26611,26383,26301,26549,26078,1097.7,1008.3,982.1,1067.3,1178,41.25,38.22,37.34,40.2,45.17,184732,185371,178036,171472,178774,20,127,57,57,57,0,0,0,0,0,36,72,41,42,38,4,7,4,4,4,95710,102465,98435,88274,91259,840.2,813.1,670.3,755.2,854.7,8.92,8.02,6.88,8.67,9.67,1342,1469,1455,1711,1970,41.6,53.3,52.5,58.7,75.7,31.03,36.27,36.1,34.31,38.4,55098.25,1052567,1053078,1052020,1052637,1053354,1055173,14,1
SC,South Carolina,3,5,1,0,1643912,1601881,1558766,1590456,1632085,649978,661898,646738,690644,675110,18661.9,21119.1,20946,21735.9,21875.7,18.52,21.36,21.83,21.99,21.74,101716,111632,117091,113934,122321,404966,366160,298572,257319,305656,0,0,0,0,0,1500.1,1410.6,1189.5,968.4,1115.3,3.7,3.85,3.98,3.76,3.65,281419,274627,265389,268190,278487,7003.9,7081.3,7079.7,7264.7,7889.8,24.89,25.78,26.68,27.09,28.33,1124533,1077992,1012652,975757,1021676,624,605,648,648,648,0,0,0,0,0,23185,15100,13515,30152,24432,2376,1554,1420,3160,2569,225961,235465,250482,236710,235860,1547.6,1432.6,1268.9,1458.2,1596,6.96,6.18,5.14,6.23,6.84,11209,9625,8411,8755,9741,306.3,274.1,214.3,227.7,274.8,27.32,28.47,25.48,26.01,28.21,189655.5,4625364,4636290,4673054,4722621,4771929,4832482,46,0
SD,South Dakota,2,4,0,0,378514,378470,375950,389619,391857,225387,248370,248616,236679,249789,3877.3,4596.4,4786.1,4771.3,4819.4,17.21,20.43,21.05,20.33,20.32,63943,62472,58812,61515,62730,39061,32112,35574,34246,33062,0,0,0,0,0,77.8,69,80,71.2,71.7,1.99,2.15,2.25,2.08,2.17,38747,39851,40037,41660,42154,888.3,939.8,996.3,1081.4,1118.2,22.93,23.58,24.88,25.96,26.53,226232,218924,225164,231578,230463,1716,1962,1868,1868,1868,0,0,0,0,0,51110,64205,56915,38761,52288,5239,6608,5981,4063,5498,72926,73973,71501,83871,83464,441.1,451,376.1,462,549.3,6.63,6.77,5.87,6.09,7.11,7707,6744,6231,7501,6694,148.8,157.6,136,175,176.1,19.31,23.37,21.83,23.32,26.3,45600,814180,816192,824171,834504,845510,853175,47,0
TN,Tennessee,3,6,0,0,2247273,2195401,2080953,2132508,2194512,505731,506701,468757,544916,499501,25580.6,29861.2,28787.6,29033,29614.6,18.67,22.15,22.37,21.73,21.47,91516,91048,96477,98518,101449,515464,481127,423086,399768,427509,45030,38576,28372,28376,21711,1419.1,1425.4,1204.3,1052,1127.7,2.75,2.96,2.85,2.63,2.64,353215,343702,328854,330773,341948,8851.1,9277.6,8860.3,8817.5,9379,25.3,27.26,27.23,26.81,27.59,1461432,1427048,1355061,1344036,1411675,205,199,213,213,213,0,0,0,0,0,79392,93037,78942,118721,84645,8138,9576,8296,12443,8901,263365,267929,281007,285308,311966,1997,1886.9,1578.8,1850,2232.9,8.13,7.61,6.01,6.82,7.48,14037,11999,9047,9879,10383,362.6,328.9,235.1,279.2,347.7,25.9,27.45,26.06,28.43,33.49,300015.25,6346105,6356628,6398389,6455177,6497269,6549352,51,0
